Energy,Momentum,Parton,CTEQ6D Value,CTEQ6L1 Value
12,5,1,71.0031,76.3112
12,5,2,49.531,52.7841
12,5,3,34.6112,36.4423
12,5,4,24.0651,25.109
12,5,5,16.7706,17.2725
12,5,6,11.6317,11.8669
12,5,7,8.09257,8.14664
13,5,0,5.60646,5.59163
13,5,1,3.90049,3.83988
13,5,2,2.70383,2.64048
13,5,3,1.88401,1.81865
13,5,4,1.3102,1.25784
13,5,5,0.917301,0.872868
13,5,6,0.64109,0.608414
13,5,7,0.451955,0.426168
14,5,0,0.318344,0.300077
14,5,1,0.226672,0.212437
14,5,2,0.161426,0.151231
14,5,3,0.11646,0.108235
14,5,4,0.0842603,0.0780036
14,5,5,0.0617766,0.0563609
14,5,6,0.045418,0.0409354
